Interest,Individual Sentiment,Organizational Sentiment,Absolute Difference
Travel,-0.213,0.104,0.317
Food & Drinks,-0.293,-0.053,0.240
Environment,-0.257,-0.022,0.235
Movies,-0.294,-0.066,0.229
Photo & Video,-0.291,-0.085,0.206
Animals & Pets,-0.343,-0.160,0.183
Fine arts,-0.365,-0.189,0.176
Family & Parenting,-0.307,-0.133,0.174
Beauty/Health & Fitness,-0.031,0.141,0.171
Shopping,-0.254,-0.113,0.141
Automotive,-0.224,-0.093,0.132
Business,-0.060,0.069,0.128
TV,-0.274,-0.149,0.125
Sports,-0.241,-0.119,0.122
Politics,-0.347,-0.228,0.119
Technology,-0.160,-0.041,0.119
Music,-0.301,-0.190,0.111
Science,-0.098,0.003,0.101
Books,-0.234,-0.156,0.078
Fashion,-0.301,-0.229,0.072
Games,-0.331,-0.327,0.005
